데이터 고유번호,장소명,위도,경도,우편번호,위치,좌표계값,데이터 상세보기 URL,데이터기준일자
367,세심재,33.501626,126.514125,63184,제주특별자치도 제주시 용담일동 2822-18,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=367,9/12/2022
427,고봉례묘,33.506644,126.563633,63304,제주특별자치도 제주시 화북 2동 4301번지,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=427,9/12/2022
428,용담동 고분유적,33.501738,126.509924,63162,제주특별자치도 제주시 용담이동 2696-2외 20필지,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=428,9/12/2022
433,하원리 분묘군,33.277524,126.470685,63553,제주특별자치도 서귀포시 하원동 21,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=433,9/12/2022
447,예래동 고인돌군,33.254677,126.390212,63537,제주특별자치도 서귀포시 상예동 1514,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=447,9/12/2022
452,식산봉,33.465678,126.919965,63639,제주특별자치도 서귀포시 성산읍 오조리 318-4,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=452,9/12/2022
489,법환 잠녀 문화마을,33.235212,126.514523,63573,제주특별자치도 서귀포시 법환동 208-4 법환어촌체험마을,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=489,9/12/2022
491,종달리패총,33.494381,126.893463,63364,제주특별자치도 제주시 구좌읍 종달리 1838-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=491,9/12/2022
519,하논,33.252969,126.545738,63570,제주특별자치도 서귀포시 서홍동 1003,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=519,9/12/2022
521,가시오름,33.24703,126.24332,63505,제주특별자치도 서귀포시 대정읍 동일리 1706,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=521,9/12/2022
525,자구내 도대불,33.309483,126.164381,63008,제주특별자치도 제주시 한경면 고산리 3616-18,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=525,9/12/2022
526,법환포구,33.237225,126.515758,63573,제주특별자치도 서귀포시 막숙포로37번길 2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=526,9/12/2022
538,베릿내 오름,33.247143,126.421961,63546,제주특별자치도 서귀포시 중문동 2314-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=538,9/12/2022
541,입산봉,33.548239,126.753786,63357,제주특별자치도 제주시 구좌읍 김녕리 2121,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=541,9/12/2022
576,화천사,33.506904,126.6102,63329,제주특별자치도 제주시 회천동 2390-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=576,9/12/2022
578,미럭당,33.499445,126.536842,63216,제주특별자치도 제주시 이도이동 379-6,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=578,9/12/2022
583,법화사지,33.263572,126.459529,63553,제주특별자치도 서귀포시 하원동 1071-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=583,9/12/2022
591,새미물,33.506984,126.61061,63329,제주특별자치도 제주시 회천동 2390-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=591,9/12/2022
594,금산,33.433925,126.330672,63035,제주특별자치도 제주시 애월읍 납읍리 1457-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=594,9/12/2022
600,존자암,33.3477,126.481982,63554,제주특별자치도 서귀포시 하원동 산1-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=600,9/12/2022
655,성널오름,33.38485,126.619188,63345,제주특별자치도 제주시 조천읍 교래리 산137-24,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=655,9/12/2022
663,대정읍성,33.249455,126.278752,63517,제주특별자치도 서귀포시 대정읍 인성리 2039,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=663,9/12/2022
704,무수천,33.460193,126.447781,63077,제주특별자치도 제주시 애월읍 광령리 4228,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=704,9/12/2022
709,와흘본향당,33.50262,126.638869,63344,제주특별자치도 제주시 조천읍 와흘리 1274-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=709,9/12/2022
768,멜튼개,33.521686,126.900095,63363,제주특별자치도 제주시 구좌읍 하도리 385-12,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=768,9/12/2022
769,별도봉,33.519202,126.553084,63293,제주특별자치도 제주시 화북일동 4472,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=769,9/12/2022
799,높은오름,33.455074,126.798399,63355,제주특별자치도 제주시 구좌읍 송당리 54-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=799,9/12/2022
845,신영물,33.220147,126.251838,63506,제주특별자치도 서귀포시 대정읍 하모리 938-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=845,9/12/2022
849,대평리난드르일뤠당,33.240218,126.360893,63531,제주특별자치도 서귀포시 안덕면 감산리 934,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=849,9/12/2022
853,수정사,33.262252,126.374807,63537,제주특별자치도 서귀포시 상예동 4721-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=853,9/12/2022
859,자장코지,33.236926,126.437482,63544,제주특별자치도 서귀포시 대포동 2385,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=859,9/12/2022
862,법환동본향당,33.233125,126.51221,63573,제주특별자치도 서귀포시 법환동 1450-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=862,9/12/2022
876,각시당,33.526674,126.891896,63363,제주특별자치도 제주시 구좌읍 하도리 450-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=876,9/12/2022
903,면수동본향당,33.523247,126.865967,63362,제주특별자치도 제주시 구좌읍 하도리 3359-19,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=903,9/12/2022
937,매오름,33.310112,126.813874,63628,제주특별자치도 서귀포시 표선면 표선리 2441-9,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=937,9/12/2022
941,섯알오름,33.205605,126.281085,63530,제주특별자치도 서귀포시 대정읍 상모리 1618,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=941,9/12/2022
946,외도 월대,33.49251,126.43574,63071,제주특별자치도 제주시 외도이동 2552-7,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=946,9/12/2022
1008,외도천,33.491981,126.435182,63074,제주특별자치도 제주시 내도동 640-05,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1008,9/12/2022
1047,신청사,33.255528,126.510438,63565,제주특별자치도 서귀포시 법환동 731,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1047,9/12/2022
1090,한북교,33.46694,126.516072,63147,제주특별자치도 제주시 오라이동 43-16,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1090,9/12/2022
1094,석굴암,33.402782,126.501978,63088,제주특별자치도 제주시 노형동 산 20,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1094,9/12/2022
1172,어승생,33.396057,126.489417,63077,제주특별자치도 제주시 해안동 산220-12,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1172,9/12/2022
1378,삼천서당,33.513683,126.528308,63278,제주특별자치도 제주시 일도일동 1198-9,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1378,9/12/2022
1454,연북정,33.540108,126.636119,63331,제주특별자치도 제주시 조천읍 조천리 2690,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1454,9/12/2022
1533,검섯개,33.548289,126.689591,63339,제주특별자치도 제주시 조천읍 북촌리 1193-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1533,9/12/2022
1635,건입동 칠머리당,33.519063,126.548024,63284,제주특별자치도 제주시 건입동 387-6,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1635,9/12/2022
1779,귀덕리 포구(진질개),33.442541,126.279048,63024,제주특별자치도 제주시 한림읍 귀덕리 991-5,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1779,9/12/2022
1790,고산리 자구내항 안쪽(돔베성창),33.309815,126.164941,63008,제주특별자치도 제주시 한경면 고산리 3616-15,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1790,9/12/2022
1904,중문 베릿내,33.244128,126.419004,63537,제주특별자치도 서귀포시 중문동 275-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1904,9/12/2022
1972,다끄네포구,33.518406,126.500745,63114,제주특별자치도 제주시 용담삼동 1064-14,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=1972,9/12/2022
2006,섯물,33.519741,126.492711,63114,제주특별자치도 제주시 용담삼동 2292-26,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2006,9/12/2022
2010,왕돌앞당,33.510896,126.483389,63115,제주특별자치도 제주시 도두이동 2607 바닷가 앞,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2010,9/12/2022
2018,모살원,33.50903,126.470635,63112,제주특별자치도 제주시 도두일동 1727-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2018,9/12/2022
2128,홍효자비,33.449966,126.885808,63056,제주특별자치도 서귀포시 성산읍 수산리 526-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2128,9/12/2022
2388,산지천,33.515132,126.528957,63277,제주특별자치도 제주시 건입동 1430,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2388,9/12/2022
2436,장수물,33.455413,126.402165,63057,제주특별자치도 제주시 애월읍 상귀리 1104-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2436,9/12/2022
2460,군산진지동굴,33.252791,126.369949,63533,제주특별자치도 서귀포시 안덕면 창천리 산1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2490,9/12/2022
2470,수월봉진지동굴,33.299932,126.167904,63008,제주특별자치도 제주시 한경면 고산리 3672-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2509,9/12/2022
2480,셋알오름 일제 고사포진지,33.206526,126.281047,63530,제주특별자치도 서귀포시 대정읍 상모리 1590-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2524,9/12/2022
2490,서귀포수력발전소 터,33.2463,126.555975,63592,제주특별자치도 서귀포시 서귀동 808-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2556,9/12/2022
2590,선덕사,33.320578,126.593645,63577,제주특별자치도 서귀포시 상효동 산86-16,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2590,9/12/2022
2611,귀덕리 거북등대,33.446615,126.291371,63024,제주특별자치도 제주시 한림읍 귀덕리 989-9,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2646,9/12/2022
2618,귀덕우물,33.443781,126.293359,63024,제주특별자치도 제주시 한림읍 귀덕리 1020-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2618,9/12/2022
2633,동문시장,33.511416,126.526193,63192,제주특별자치도 제주시 이도일동 1436-7,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2633,9/12/2022
2636,모슬포항 등대,33.214404,126.251742,63513,제주특별자치도 서귀포시 대정읍 하모리 694-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2636,9/12/2022
2644,사계포구,33.228259,126.306631,63528,제주특별자치도 서귀포시 안덕면 사계리 2147-32,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2644,9/12/2022
2651,하모해변,33.211302,126.261356,63513,제주특별자치도 서귀포시 대정읍 하모리 279-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2651,9/12/2022
2662,소레포구,33.239465,126.607741,63599,제주특별자치도 서귀포시 보목동 1400,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2662,9/12/2022
2676,화북포구,33.524671,126.565573,63287,제주특별자치도 제주시 화북일동 1619-6,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2676,9/12/2022
2690,제주측후소,33.514636,126.529662,63278,제주특별자치도 제주시 일도일동 1186,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2690,9/12/2022
2692,종달리 포구,33.496945,126.911145,63364,제주특별자치도 제주시 구좌읍 종달리 484-10,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2692,9/12/2022
2839,서귀포칠십리바닷가,33.243637,126.56874,63596,제주특별자치도 서귀포시 서귀동 70-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2839,9/12/2022
2859,하도리 철새 도래지,33.5117,126.895331,63363,제주특별자치도 제주시 구좌읍 하도리 53-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2859,9/12/2022
2869,고내 해안,33.467184,126.337286,63045,제주특별자치도 제주시 애월읍 고내리 1156-4,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2869,9/12/2022
2870,고망난돌쉼터해변,33.510121,126.906457,63364,제주특별자치도 제주시 구좌읍 종달리 112-4,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2870,9/12/2022
2872,고산해안산책로,33.304424,126.165148,63008,제주특별자치도 제주시 한경면 고산리 3653-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2872,9/12/2022
2882,논짓물,33.236825,126.388291,63538,제주특별자치도 서귀포시 하예동 532-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2882,9/12/2022
2891,원앙폭포,33.301803,126.578931,63582,제주특별자치도 서귀포시 상효동 1463,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2891,9/12/2022
2894,지미봉,33.496894,126.906103,63364,제주특별자치도 제주시 구좌읍 종달리 산3-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2894,9/12/2022
2908,사계해변,33.228256,126.308463,63528,제주특별자치도 서귀포시 안덕면 사계리 131-8,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2908,9/12/2022
2912,산지등대,33.521261,126.545478,63284,제주특별자치도 제주시 사라봉동길 108-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2912,9/12/2022
2937,안덕계곡,33.254404,126.350603,63531,제주특별자치도 서귀포시 안덕면 감산리 1946,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2937,9/12/2022
2938,알오름군락,33.329988,126.777995,63626,제주특별자치도 서귀포시 표선면 토산리 산11,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2938,9/12/2022
2941,오조리철새도래지,33.463143,126.915385,63639,제주특별자치도 서귀포시 성산읍 오조리 2210,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2941,9/12/2022
2945,온평리 해안,33.415988,126.910528,63633,제주특별자치도 서귀포시 성산읍 온평리 66-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2945,9/12/2022
2949,용수리 해안도로,33.323724,126.166017,63009,제주특별자치도 제주시 한경면 용수리 4274-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2949,9/12/2022
2959,이달봉,33.3624,126.345292,63039,제주특별자치도 제주시 애월읍 봉성리 산71-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2959,9/12/2022
2960,서림물,33.238979,126.22853,63504,제주특별자치도 서귀포시 대정읍 일과리 1293-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2960,9/12/2022
2975,도순다원,33.272478,126.483071,63555,제주특별자치도 서귀포시 도순동 1-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2975,9/12/2022
2988,칡오름,33.477139,126.612434,63313,제주특별자치도 제주시 봉개동 466-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2988,9/12/2022
2992,송악산 해안동굴,33.206047,126.289732,63512,제주특별자치도 서귀포시 대정읍 상모리 179-4,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=2992,9/12/2022
3002,강정천,33.232636,126.489534,63563,제주특별자치도 서귀포시 강정동 5647 외,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3002,9/12/2022
3079,성읍 남문성,33.385692,126.801694,63624,제주특별자치도 서귀포시 표선면 성읍리 3294,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3079,9/12/2022
3125,황우지열두굴,33.241906,126.55069,63594,제주특별자치도 서귀포시 서홍동 764-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3125,9/12/2022
3146,한라산 고산습지,33.357557,126.463406,63554,제주특별자치도 서귀포시 색달동 산1-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3146,9/12/2022
3164,붉은오름 자연휴양림,33.401645,126.675313,63622,제주특별자치도 서귀포시 표선면 가시리 산 158,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3164,9/12/2022
3240,명월 팽나무군락,33.387594,126.266171,63014,제주특별자치도 제주시 한림읍 명월로 71,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3240,9/12/2022
3267,솜반천,33.25335,126.553013,63583,제주특별자치도 서귀포시 서홍동 2565,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3267,9/12/2022
3315,성김대건신부 제주표착기념관,33.322849,126.167724,63009,제주특별자치도 제주시 한경면 용수리 4266,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3315,9/12/2022
3349,쇠소깍해변,33.251553,126.623122,63600,제주특별자치도 서귀포시 하효동 997-3,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3349,9/12/2022
3618,반딧불이 보호구역,33.24132,126.396413,63536,제주특별자치도 서귀포시 상예동 5001-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3618,9/12/2022
3717,공천포,33.26342,126.641112,63612,제주특별자치도 서귀포시 남원읍 신례리 72-18,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3717,9/12/2022
3734,고내봉,33.457352,126.340551,63045,제주특별자치도 제주시 애월읍 고내리 산3-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3734,9/12/2022
3743,정의현성,33.386948,126.799951,63624,제주특별자치도 서귀포시 표선면 성읍리 820-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3743,9/12/2022
3773,귤림서원,33.510438,126.525713,63192,제주특별자치도 제주시 이도일동 1421-34,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3773,9/12/2022
3778,청수리 가마오름 일제 진지동굴,33.30517,126.247815,63006,제주특별자치도 제주시 한경면 청수리 1166,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3778,9/12/2022
3779,비자림,33.49135,126.81058,63551,제주특별자치도 제주시 구좌읍 평대리 3161-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3779,9/12/2022
3813,도두봉,33.508034,126.468195,63112,제주특별자치도 제주시 도두일동 산1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3813,9/12/2022
3822,빌레못 동굴 유적,33.404514,126.350424,63038,제주특별자치도 제주시 애월읍 어음리 1391,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3822,9/12/2022
3842,용담레포츠 공원,33.518207,126.499395,63114,제주특별자치도 제주시 용담삼동 1089,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3842,9/12/2022
3857,마이못 해안,33.493345,126.427501,63068,제주특별자치도 제주시 외도이동 1956-23,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3857,9/12/2022
3868,거믄여해안경승지,33.243349,126.58115,63599,제주특별자치도 서귀포시 토평동 473-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=3868,9/12/2022
4023,만수사터,33.515655,126.532331,63279,제주특별자치도 제주시 건입동 1275-10,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4023,9/12/2022
4101,인성리 방사탑,33.241599,126.282581,63511,제주특별자치도 서귀포시 대정읍 인성리 29-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4101,9/12/2022
4390,구엄리 돌염전,33.483407,126.376488,63049,제주특별자치도 제주시 애월읍 구엄리 608-1,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4390,9/12/2022
4392,단산,33.242848,126.288344,63511,제주특별자치도 서귀포시 대정읍 인성리 21-2,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4392,9/12/2022
4495,불탑사5층석탑,33.529296,126.598174,63316,제주특별자치도 제주시 삼양일동 697,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4495,9/12/2022
4602,구억리 검은굴,33.281606,126.285685,63519,제주특별자치도 서귀포시 대정읍 구억리 677,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4602,9/12/2022
4618,하도리별방진,33.52618,126.884378,63362,제주특별자치도 제주시 구좌읍 하도리 3354,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4618,9/12/2022
4745,한림읍 명월진성,33.400293,126.263205,63013,제주특별자치도 제주시 한림읍 동명리 2256,WGS 84,https://www.jeju.go.kr/culture/digitalContents/directory.htm?classification=&subClassification=&act=view&seq=4745,9/12/2022
