ID,region,shrine_name,raw_address,combined_address,resolved_address,latitude,longitude,status,ownership_raw,상태,ownership_standardized,validated_address_ko,validated_road_address_ko,validated_jibun_address_ko,address_validation_status,address_validation_source
1,구좌읍,동복리 본향 굴묵밧할망당,동복리1 759,구좌읍 동복리1 759,"1759 Dongbok-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5494717,126.7170891,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 동복리 863,NULL,제주특별자치도 제주시 구좌읍 동복리 863,validated,kakao_coord2address
2,구좌읍,김녕 본향 사장빌레큰당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
3,구좌읍,동김녕 궤눼깃당,김녕리 21 21,구좌읍 김녕리 21 21,"2121 Gimnyeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5507592,126.752818,resolved,국가,폐당,국가,제주특별자치도 제주시 구좌읍 김녕리 1771,NULL,제주특별자치도 제주시 구좌읍 김녕리 1771,validated,kakao_coord2address
4,구좌읍,동김녕리 성세깃당,김녕리 571 -2,구좌읍 김녕리 571 -2,제주특별자치도 제주시 구좌읍 김녕리 571-2,33.55446325,126.7587613,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 김녕리 571-2,NULL,제주특별자치도 제주시 구좌읍 김녕리 571-2,validated,kakao_coord2address
5,구좌읍,서김녕 본향 노모리동산 일뤠당,김녕리 3417,구좌읍 김녕리 3417,제주특별자치도 제주시 구좌읍 김녕리 3417,33.55486877,126.7428952,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 김녕리 3417,NULL,제주특별자치도 제주시 구좌읍 김녕리 3417,validated,kakao_coord2address
6,구좌읍,서김녕리 서문하르방당,NULL,NULL,NULL,NULL,NULL,unresolved,-,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
7,구좌읍,월정 본향 서당머체큰당,월정리 1 79-8,구좌읍 월정리 1 79-8,"179-8 Woljeong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5487733,126.7930352,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 월정리 179-8,NULL,제주특별자치도 제주시 구좌읍 월정리 179-8,validated,kakao_coord2address
8,구좌읍,월정리 서당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
9,구좌읍,월정리 베롱개 해신당,월정리 774-4,구좌읍 월정리 774-4,제주특별자치도 제주시 구좌읍 월정리 774-4,33.56031149,126.7909184,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 월정리 774-4,NULL,제주특별자치도 제주시 구좌읍 월정리 774-4,validated,kakao_coord2address
10,구좌읍,행원리 본향 큰당,행원리 573-6,구좌읍 행원리 573-6,제주특별자치도 제주시 구좌읍 행원리 573-6,33.55909319,126.8138032,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 행원리 573-6,NULL,제주특별자치도 제주시 구좌읍 행원리 573-6,validated,kakao_coord2address
11,구좌읍,행원리 남당,NULL,NULL,NULL,NULL,NULL,unresolved,-,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
12,구좌읍,한동 본향 괴로본산국당,한동리 21 23,구좌읍 한동리 21 23,"2123 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5296553,126.819512,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 한동리 2123,NULL,제주특별자치도 제주시 구좌읍 한동리 2123,validated,kakao_coord2address
13,구좌읍,한동 망애물 해신당,한동리 1 387-2,구좌읍 한동리 1 387-2,"1387-2 Handong-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5429614,126.8287006,resolved,국가,,국가,NULL,NULL,NULL,unresolved,kakao_coord2address
14,구좌읍,평대 본향 신선백관 하르방당,한동리 656,구좌읍 한동리 656,제주특별자치도 제주시 구좌읍 한동리 656,33.52498801,126.8284467,resolved,"개인, 공동",,공동,제주특별자치도 제주시 구좌읍 한동리 656,NULL,제주특별자치도 제주시 구좌읍 한동리 656,validated,kakao_coord2address
15,구좌읍,평대(서동) 본향수대깃당,한동리 656,구좌읍 한동리 656,제주특별자치도 제주시 구좌읍 한동리 656,33.52498801,126.8284467,resolved,"개인, 공동",,공동,제주특별자치도 제주시 구좌읍 한동리 656,NULL,제주특별자치도 제주시 구좌읍 한동리 656,validated,kakao_coord2address
16,구좌읍,평대(동동) 수대깃당,평대리 975,구좌읍 평대리 975,제주특별자치도 제주시 구좌읍 평대리 975,33.5244887,126.8436347,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 평대리 975,NULL,제주특별자치도 제주시 구좌읍 평대리 975,validated,kakao_coord2address
17,구좌읍,평대리 갯마리 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
18,구좌읍,세화리 본향 천자또 산신당,세화리 1 049-2,구좌읍 세화리 1 049-2,"1049-2 Saehwa-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5144228,126.8545364,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 세화리 1049-2,NULL,제주특별자치도 제주시 구좌읍 세화리 1049-2,validated,kakao_coord2address
19,구좌읍,세화리 고는곶 일뤠,세화리 1 049-2,구좌읍 세화리 1 049-2,"1049-2 Saehwa-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5144228,126.8545364,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 세화리 1049-2,NULL,제주특별자치도 제주시 구좌읍 세화리 1049-2,validated,kakao_coord2address
20,구좌읍,세화리 갯것할망당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
21,구좌읍,상도리 본향 막음질 일뤠할망당,상도리 202,구좌읍 상도리 202,제주특별자치도 제주시 구좌읍 상도리 202,33.50828995,126.8694385,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 상도리 202,NULL,제주특별자치도 제주시 구좌읍 상도리 202,validated,kakao_coord2address
22,구좌읍,하도리 본향 삼싱불도할망당,하도리 2884,구좌읍 하도리 2884,제주특별자치도 제주시 구좌읍 하도리 2884,33.52347663,126.8764855,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 하도리 2884,NULL,제주특별자치도 제주시 구좌읍 하도리 2884,validated,kakao_coord2address
23,구좌읍,하도리 각시당,하도리 450-3,구좌읍 하도리 450-3,제주특별자치도 제주시 구좌읍 하도리 450-3,33.52668379,126.8919084,resolved,국가,,국가,제주특별자치도 제주시 구좌읍 하도리 450-3,NULL,제주특별자치도 제주시 구좌읍 하도리 450-3,validated,kakao_coord2address
24,구좌읍,하도리 남당,하도리 1 778,구좌읍 하도리 1 778,"1778 Hado-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5258658,126.8841999,resolved,제주도,폐당,국가,제주특별자치도 제주시 구좌읍 하도리 1778,NULL,제주특별자치도 제주시 구좌읍 하도리 1778,validated,kakao_coord2address
25,구좌읍,하도리 면수동 본향 여씨불도할망당,하도리 3359-1 9,구좌읍 하도리 3359-1 9,"3359-1 Hado-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5249131,126.8656877,resolved,마을,,미상,제주특별자치도 제주시 구좌읍 면수길 52,제주특별자치도 제주시 구좌읍 면수길 52,제주특별자치도 제주시 구좌읍 하도리 3359-1,validated,kakao_coord2address
26,구좌읍,종달 본향 오막개당,종달리 70,구좌읍 종달리 70,제주특별자치도 제주시 구좌읍 종달리 70,33.50515255,126.9099317,resolved,제주도,,국가,제주특별자치도 제주시 구좌읍 종달리 70,NULL,제주특별자치도 제주시 구좌읍 종달리 70,validated,kakao_coord2address
27,구좌읍,종달리 조개왓 틀목 일뤠당,종달리 71 2-1,구좌읍 종달리 71 2-1,"71 Jongdal-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.5053014,126.9100125,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 종달리 71,NULL,제주특별자치도 제주시 구좌읍 종달리 71,validated,kakao_coord2address
28,구좌읍,종달리 생개납 돈짓당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
29,구좌읍,송당리 본향 웃손당 당오름 백주할망당,송당리 산 1 99-1,구좌읍 송당리 산 1 99-1,"산199-1 Songdang-ri, Gujwa-eup, Cheju, Jeju-do, South Korea",33.4672277,126.7771789,resolved,마을,,미상,제주특별자치도 제주시 구좌읍 송당리 산 200,NULL,제주특별자치도 제주시 구좌읍 송당리 산 200,validated,kakao_coord2address
30,구좌읍,송당리 상덕천 체오름 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,개인,,개인,NULL,NULL,NULL,unresolved,kakao_coord2address
31,구좌읍,송당리 상덕천 체오름 산신당,송당리 산 61,구좌읍 송당리 산 61,제주특별자치도 제주시 구좌읍 송당리 산 61,33.46666713,126.7609249,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 송당리 산 61,NULL,제주특별자치도 제주시 구좌읍 송당리 산 61,validated,kakao_coord2address
32,구좌읍,송당리 본향 알손당 고부니모루 소천국 하르방당,송당리 산 8-1,구좌읍 송당리 산 8-1,제주특별자치도 제주시 구좌읍 송당리 산 8-1,33.49031202,126.7930606,resolved,마을,폐당,미상,제주특별자치도 제주시 구좌읍 송당리 산 8-1,NULL,제주특별자치도 제주시 구좌읍 송당리 산 8-1,validated,kakao_coord2address
33,구좌읍,하덕천리 본향 거멀 문국성 산신당,덕천리 289,구좌읍 덕천리 289,제주특별자치도 제주시 구좌읍 덕천리 289,33.50365474,126.7695643,resolved,개인,,개인,제주특별자치도 제주시 구좌읍 덕천리 289,NULL,제주특별자치도 제주시 구좌읍 덕천리 289,validated,kakao_coord2address
34,구좌읍,하덕천리 웃산전 사라흘당,덕천리 산 49-3,구좌읍 덕천리 산 49-3,제주특별자치도 제주시 구좌읍 덕천리 산 49-3,33.49804473,126.7650136,resolved,기업,,법인,제주특별자치도 제주시 구좌읍 덕천리 산 49-3,NULL,제주특별자치도 제주시 구좌읍 덕천리 산 49-3,validated,kakao_coord2address
35,조천읍,신촌리 본향 큰물머리 영등빌레당,신촌리 2257,조천읍 신촌리 2257,제주특별자치도 제주시 조천읍 신촌리 2257,33.53686592,126.618396,resolved,제주도,,국가,제주특별자치도 제주시 조천읍 신촌리 2257,NULL,제주특별자치도 제주시 조천읍 신촌리 2257,validated,kakao_coord2address
36,조천읍,신촌리 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
37,조천읍,신촌리 동동네 일뤠낭거리 일뤠당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
38,조천읍,조천리(하동) 새콧할망당 (고망할망당),조천리 2730-2,조천읍 조천리 2730-2,제주특별자치도 제주시 조천읍 조천리 2730-2,33.54207512,126.6345629,resolved,국가,,국가,제주특별자치도 제주시 조천읍 조천리 2730-2,NULL,제주특별자치도 제주시 조천읍 조천리 2730-2,validated,kakao_coord2address
39,조천읍,조천리 새당,조천리695,조천읍 조천리695,제주특별자치도 제주시 조천읍 조천16길 44-25,33.53652585,126.6455543,resolved,개인,,개인,제주특별자치도 제주시 조천읍 조천리 695,NULL,제주특별자치도 제주시 조천읍 조천리 695,validated,kakao_coord2address
40,조천읍,신흥리 본향 대방황수당,신흥리 51 1 -1,조천읍 신흥리 51 1 -1,"1, 51 Sinheung-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5488871,126.6522151,resolved,제주도,폐당,국가,제주특별자치도 제주시 조천읍 신흥로2길 20-9,제주특별자치도 제주시 조천읍 신흥로2길 20-9,제주특별자치도 제주시 조천읍 신흥리 51,validated,kakao_coord2address
41,조천읍,신흥리 볼래낭할망당,신흥리 545-1,조천읍 신흥리 545-1,제주특별자치도 제주시 조천읍 신흥리 545-1,33.548704,126.649033,resolved,국가,,국가,제주특별자치도 제주시 조천읍 신흥리 545-1,NULL,제주특별자치도 제주시 조천읍 신흥리 545-1,validated,kakao_coord2address
42,조천읍,신흥리 서카름 가문이알 김씨조상당,NULL,NULL,NULL,NULL,NULL,unresolved,NULL,,미상,NULL,NULL,NULL,unresolved,kakao_coord2address
43,조천읍,함덕리 본향 알카름 서물당,함덕리 3155-2,조천읍 함덕리 3155-2,제주특별자치도 제주시 조천읍 함덕리 3155-2,33.5456753,126.6598621,resolved,북제주군,,미상,제주특별자치도 제주시 조천읍 조함해안로 428-13,제주특별자치도 제주시 조천읍 조함해안로 428-13,제주특별자치도 제주시 조천읍 함덕리 3155-1,validated,kakao_coord2address
44,조천읍,함덕리존나니모루 일뤠당,함덕리 1698,조천읍 함덕리 1698,제주특별자치도 제주시 조천읍 함덕리 1698,33.53173998,126.6630462,resolved,제주도,,국가,제주특별자치도 제주시 조천읍 함덕리 1698,NULL,제주특별자치도 제주시 조천읍 함덕리 1698,validated,kakao_coord2address
45,조천읍,함덕리 머체 일뤠당,함덕리 91 1,조천읍 함덕리 91 1,"91 Hamdeok-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5504485,126.6766617,resolved,개인,폐당,개인,제주특별자치도 제주시 조천읍 함덕리 91,NULL,제주특별자치도 제주시 조천읍 함덕리 91,validated,kakao_coord2address
46,조천읍,함덕리 한양할망당,함덕리2547-1,조천읍 함덕리2547-1,제주특별자치도 제주시 조천읍 함덕리 2547-1,33.53484353,126.6616907,resolved,NULL,,미상,제주특별자치도 제주시 조천읍 함덕리 2547-1,NULL,제주특별자치도 제주시 조천읍 함덕리 2547-1,validated,kakao_coord2address
47,조천읍,함덕리 지르 일뤠당,함덕리 3061,조천읍 함덕리 3061,제주특별자치도 제주시 조천읍 신북로 470,33.54327119,126.6597889,resolved,기업,멸실,법인,제주특별자치도 제주시 조천읍 신북로 470,제주특별자치도 제주시 조천읍 신북로 470,제주특별자치도 제주시 조천읍 함덕리 3061,validated,kakao_coord2address
48,조천읍,함덕리 서모오름 산신당,"함덕리3029, 3033-1","조천읍 함덕리3029, 3033-1","3029 Hamdeok-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5432611,126.6575661,resolved,"개인, 공동",폐당,공동,제주특별자치도 제주시 조천읍 함대로 6,제주특별자치도 제주시 조천읍 함대로 6,제주특별자치도 제주시 조천읍 함덕리 3029,validated,kakao_coord2address
49,조천읍,함덕리 문두낭당,함덕리 178-1,조천읍 함덕리 178-1,제주특별자치도 제주시 조천읍 함덕리 178-1,33.5445345,126.6765073,resolved,개인,,개인,제주특별자치도 제주시 조천읍 함덕리 178-1,NULL,제주특별자치도 제주시 조천읍 함덕리 178-1,validated,kakao_coord2address
50,조천읍,북촌리(뒷개) 본향 가릿당,북촌리 1362,조천읍 북촌리 1362,제주특별자치도 제주시 조천읍 북촌7길 35,33.5508557,126.6931398,resolved,개인,,개인,제주특별자치도 제주시 조천읍 북촌7길 35,제주특별자치도 제주시 조천읍 북촌7길 35,제주특별자치도 제주시 조천읍 북촌리 1362,validated,kakao_coord2address
51,조천읍,북촌리 당구들동산 당팟당,북촌리 11 48,조천읍 북촌리 11 48,"1148 Bukchon-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5430978,126.6935863,resolved,개인,,개인,제주특별자치도 제주시 조천읍 북촌리 1148,NULL,제주특별자치도 제주시 조천읍 북촌리 1148,validated,kakao_coord2address
52,조천읍,북촌리동카름 칠머리당,"북촌리 2688,","조천읍 북촌리 2688,",제주특별자치도 제주시 조천읍 북촌리 2688,33.54714314,126.6917655,resolved,국가,폐당,국가,제주특별자치도 제주시 조천읍 북촌리 2688,NULL,제주특별자치도 제주시 조천읍 북촌리 2688,validated,kakao_coord2address
53,조천읍,선흘리 (알선흘) 본향 당동산 산신당,선흘리 2661,조천읍 선흘리 2661,제주특별자치도 제주시 조천읍 선흘리 2661,33.51969276,126.6951243,resolved,개인,,개인,제주특별자치도 제주시 조천읍 선흘리 2661,NULL,제주특별자치도 제주시 조천읍 선흘리 2661,validated,kakao_coord2address
54,조천읍,선흘리 (웃선흘) 탈남밧 일뤠당,선흘리 261 2-27,조천읍 선흘리 261 2-27,"261 Seonheul-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5021471,126.716843,resolved,개인,,개인,제주특별자치도 제주시 조천읍 선흘리 261,NULL,제주특별자치도 제주시 조천읍 선흘리 261,validated,kakao_coord2address
55,조천읍,와흘리 본향 한거리 하로산당,와흘리 1 274-1,조천읍 와흘리 1 274-1,"1274-1 Waheul-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.5023167,126.6390196,resolved,마을,,미상,제주특별자치도 제주시 조천읍 와흘리 1274-1,NULL,제주특별자치도 제주시 조천읍 와흘리 1274-1,validated,kakao_coord2address
56,조천읍,와흘리 고평동 본향 궷드르 산신당,와흘리 11 4,조천읍 와흘리 11 4,"11 Waheul-ri, Jocheon-eup, Cheju, Jeju-do, South Korea",33.4812527,126.6559656,resolved,개인,,개인,제주특별자치도 제주시 조천읍 와흘리 11,NULL,제주특별자치도 제주시 조천읍 와흘리 11,validated,kakao_coord2address
57,조천읍,대흘리 본향 비지남밧 하로산당,대흘리 2201,조천읍 대흘리 2201,제주특별자치도 제주시 조천읍 대흘리 2201,33.50053479,126.6554207,resolved,개인,,개인,제주특별자치도 제주시 조천읍 대흘리 2201,NULL,제주특별자치도 제주시 조천읍 대흘리 2201,validated,kakao_coord2address
58,조천읍,와산리 하르방당 베락당,와산리 694-1,조천읍 와산리 694-1,제주특별자치도 제주시 조천읍 와산리 694-1,33.49110111,126.6862131,resolved,제주도,폐당,국가,제주특별자치도 제주시 조천읍 와산리 694-1,NULL,제주특별자치도 제주시 조천읍 와산리 694-1,validated,kakao_coord2address
59,조천읍,와산리 본향 당오름 불돗당,와산리 489-2,조천읍 와산리 489-2,제주특별자치도 제주시 조천읍 와산리 489-2,33.48057805,126.6875951,resolved,마을,,미상,제주특별자치도 제주시 조천읍 와산리 489-2,NULL,제주특별자치도 제주시 조천읍 와산리 489-2,validated,kakao_coord2address
60,조천읍,와산리 당새미 토광물 산신당,와산리 145,조천읍 와산리 145,제주특별자치도 제주시 조천읍 와산리 145,33.4906863,126.691462,resolved,개인,,개인,제주특별자치도 제주시 조천읍 와산리 145,NULL,제주특별자치도 제주시 조천읍 와산리 145,validated,kakao_coord2address
61,조천읍,와산리 엄낭굴 철산이도 산신당,와산리 1471,조천읍 와산리 1471,제주특별자치도 제주시 조천읍 와산리 1471,33.48654447,126.6773135,resolved,개인,,개인,제주특별자치도 제주시 조천읍 와산리 1471,NULL,제주특별자치도 제주시 조천읍 와산리 1471,validated,kakao_coord2address
62,조천읍,와산리 골왓술 산신당,와산리 573,조천읍 와산리 573,제주특별자치도 제주시 조천읍 와산리 573,33.48846825,126.683975,resolved,개인,,개인,제주특별자치도 제주시 조천읍 와산리 573,NULL,제주특별자치도 제주시 조천읍 와산리 573,validated,kakao_coord2address
63,조천읍,와산리 웃질왓 감낭밧 한씨조상당,와산리 195,조천읍 와산리 195,제주특별자치도 제주시 조천읍 와산리 195,33.48500282,126.6903896,resolved,개인,,개인,제주특별자치도 제주시 조천읍 와산리 195,NULL,제주특별자치도 제주시 조천읍 와산리 195,validated,kakao_coord2address
64,조천읍,교래리 본향 리하로산당,교래리 401,조천읍 교래리 401,제주특별자치도 제주시 조천읍 교래리 401,33.44259837,126.679111,resolved,"개인, 공동",,공동,제주특별자치도 제주시 조천읍 교래리 401,NULL,제주특별자치도 제주시 조천읍 교래리 401,validated,kakao_coord2address
